Paziente,243,593,1116,1614,629,1309,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,3.9035609,3.3242738,0.8256339,0.68574905,1.3849249,0.13886067,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,4.468092,0.51204544,7.393545,8.797015,1.4523914,4.9937677,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,3.906554,0.6306887,0.36083388,1.5342386,1.178664,2.7996852,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,3.3931162,1.8856158,1.3479171,2.9198246,2.6192558,2.430074,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,12.368397,10.687096,2.4144163,4.894327,0.8290939,2.0277703,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,26.555761,13.061224,0.8658906,2.4120011,0.0,2.1429174,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,2.8577223,5.111019,8.214776,7.2939873,4.133612,2.8618505,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,1.7613455,0.4137147,2.2537231,0.8718514,0.49656677,1.1844165,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,2.6499903,0.6118408,2.2892327,0.6566377,1.9749072,0.04506716,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,10.548807,7.4269347,1.6453909,2.7880955,4.484956,2.243066,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,7.042166,3.7829633,1.7923676,5.28703,6.911018,4.9853954,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,6.812074,10.612157,2.1075292,2.2865133,3.3388226,1.8566129,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,5.8956795,3.2268167,2.9909587,6.0030947,2.6684585,5.010087,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,8.724859,0.9154249,2.1716318,0.62475014,2.206599,3.046836,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,14.729785,11.313493,0.5128938,1.6454508,1.9652057,1.7092562,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,3.6261811,0.9162633,2.4860415,1.9095013,3.4779143,0.89580834,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,6.1471415,4.2387066,2.621769,5.6870136,2.0141582,3.9946122,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,4.483852,0.68735194,2.2992773,3.1802354,1.7387574,3.9379601,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,2.8187838,0.4766444,3.1609054,1.7873893,1.9032571,1.469434,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,3.0817287,0.37458915,1.9423479,1.4068301,0.74222,0.044959426,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,5.061423,8.3898535,1.3565851,2.2093577,4.524121,2.4203398,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,5.2853875,0.081775784,3.1657557,2.014218,0.0,4.026718,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,1.9736034,0.33727425,3.9488888,5.7203755,0.7876316,2.550705,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,0.69176686,1.9075239,2.094151,0.060748696,1.5204675,1.3154598,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,14.422827,21.020458,3.146152,7.412691,4.6655936,5.114155,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
46,4.699926,0.95099396,3.117105,0.6706068,1.101474,1.762146,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,4.0150595,2.0172687,0.68003595,0.28061563,0.78454036,1.7418253,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,2.95039,0.67946637,3.0890608,0.6714551,1.7384694,1.5756557,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,3.0522442,4.0726447,2.9582076,4.2164073,3.7547283,2.94499,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,1.9637424,1.2292883,0.6255182,0.16993472,6.512028,1.9753709,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,15.096574,12.552295,3.3365026,2.9049206,5.2763643,2.5107276,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
54,3.0764866,1.4592974,2.4703183,2.7935195,1.2084818,2.6226783,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,8.03915,2.22747,3.857831,6.405694,2.549541,5.087871,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,7.633325,17.236023,3.8648071,3.5630283,5.706474,7.2197328,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,10.122857,6.2739143,6.0971518,2.3132253,8.233303,2.020877,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,4.118414,0.98450845,4.4006686,3.3470447,1.9158592,6.385024,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,1.9640636,0.689294,0.6110282,0.3863073,1.9323053,1.8175118,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,8.978017,10.808668,1.0803096,1.0822499,1.7836246,0.5875733,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,6.789713,9.576126,0.5379691,4.5563407,7.2552037,4.3245883,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,5.719643,1.3664138,3.0222597,2.0514119,2.5353084,3.2778544,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,5.6415505,2.8205051,4.1683593,4.601521,2.1503637,4.685626,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,8.568671,17.895077,1.6093897,2.5104187,0.84252244,1.3254088,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,4.2486615,0.0,2.1877494,0.0,4.928247,2.0699017,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,9.657918,0.9512089,3.712164,4.115109,0.8157039,3.7506552,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,4.3958325,0.0,1.1598767,0.19026855,1.8766708,1.3088552,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,5.080016,1.2185295,1.37957,3.668571,1.9996614,2.348454,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,1.9829452,0.0629161,0.9572115,0.32936364,2.0227187,2.3321161,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
76,2.8960602,1.0426662,0.14937466,2.3900669,0.60749096,2.8857808,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,2.2764478,0.0,5.828975,4.852812,3.9887471,6.419353,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,9.797294,5.7329216,5.6780577,6.7026334,2.3427436,9.191015,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
81,12.032332,20.861942,0.015958816,1.081521,3.9977612,0.0,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,2.8901317,1.3821073,2.0948653,1.973742,0.16445607,1.4089891,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
84,4.631766,0.64920425,3.537928,1.0399396,2.3122969,1.995758,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,4.262165,2.3582869,5.4568605,6.5610595,5.02012,6.07454,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,2.9826422,1.0728495,1.8280817,1.3139708,0.93242294,3.3717146,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,2.7561052,1.7354424,1.9127353,2.3685334,7.247587,4.054199,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,11.808699,17.933886,2.6040215,3.0636415,1.8637717,3.4772658,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
89,6.798651,7.3845468,2.8538342,8.843938,0.81945187,4.6080394,0.767971135513676,0.8546362649294246,0.5324246995862538,0.6378243584561712
90,7.6408067,2.2844248,4.1804886,1.5596247,4.5994196,4.509777,0.706154736148328,0.8159091035240583,0.5460865357747106,0.5204250569687467
91,11.53261,7.655449,0.7316828,1.5181048,3.4253953,2.5870137,0.8300003452053717,0.8965284653465346,0.5819569877641975,0.7324326926638299
92,8.773705,5.0014396,1.0620979,1.1668186,6.09568,1.4342791,0.7800510110934097,0.86840091706104,0.6148656793529638,0.6155624020067704
94,3.7779117,1.8995929,3.0182095,1.1358781,0.0,0.13350111,0.7063016939692216,0.8050384894168511,0.4810053470110604,0.5259319201125593
95,4.15923,0.75500685,6.977774,2.2617214,1.0044136,3.2533982,0.7068339931550885,0.7704032684452868,0.5203346388069301,0.4593901042285793
96,2.2641258,0.461084,3.0003715,2.921492,0.9624892,6.8955817,0.6473753805651484,0.7354716783343372,0.4828717504970568,0.5550493763780542
98,2.9282477,0.2076304,4.6665273,0.26812786,0.22138715,0.33453238,0.6649692826073684,0.7383752600250121,0.3431109465597028,0.3780416285930453
100,15.841755,15.092091,1.3168623,2.669638,4.112152,1.36341,0.8439434060228452,0.912285272887781,0.7764863613885269,0.7167883486728025
101,5.329254,3.9857817,2.636682,3.00418,1.5433788,4.147438,0.7643828540556782,0.8415976148992389,0.6762989686571312,0.6748484808994527
102,8.046015,8.908783,1.7175575,2.3896022,1.9085574,0.5642442,0.8144546737857895,0.8870024289366184,0.6536466602743175,0.631077389152224
103,3.0393195,0.99687535,1.5917321,1.798064,2.0164518,1.5071853,0.7034165778218929,0.7954807098765432,0.4679450045598828,0.4411551159741513
104,3.4185808,4.984122,1.8676921,3.6590648,4.126993,2.9929054,0.7808765024682286,0.8844560695056289,0.5955350215115447,0.6226681671791003
105,9.006264,23.335075,2.1839204,5.5048285,4.6063414,9.101965,0.8302199713513897,0.8912743990176357,0.7722035282511894,0.6850841242480766
106,2.5034802,0.94788104,1.5463109,0.37368584,1.4073505,2.5396395,0.5475743927535321,0.7702745082529135,0.1546130814474683,0.1455967447004125
107,10.722336,22.525623,4.327415,3.0923486,4.8611336,3.8406377,0.8370796158825686,0.9062243453644728,0.7289911454779328,0.5984262848883759
108,4.715544,2.193943,4.937596,1.1844923,3.069897,2.8103483,0.7447070373664652,0.8433605056412075,0.6056399997026379,0.6293669832321882
109,7.9951334,17.080822,2.1600618,2.3237364,2.700529,0.6515185,0.8601437913512038,0.901863929146538,0.6802650667387583,0.6965022517975719
110,4.599857,8.5242815,9.395882,5.6089945,1.3992496,5.288618,0.7652106592238171,0.8752616902616902,0.6170377655712954,0.5153579439021986
111,2.875387,0.0,0.83658636,0.15918353,0.13334343,4.1163054,0.7065571180402009,0.7357486637512147,0.5826801935986062,0.4745330654357089
112,2.0841498,0.69691736,0.871557,0.3593309,0.11125529,4.114421,0.7449284810542575,0.8404844576719577,0.4197691186046947,0.3032903332894685
113,5.360588,0.85573596,1.6622952,3.1196337,1.1861508,1.8890266,0.7540995370370371,0.8654802867383514,0.5827399410997509,0.6746067722602385
114,2.0491228,1.2505314,2.8276863,0.13731804,0.76203674,1.7709098,0.7592560664112388,0.8635078053259871,0.4412283487579335,0.4102684102096122
115,3.757325,0.8563307,3.7547178,0.6465634,1.0425689,1.6448624,0.6891681059011483,0.8013146698628502,0.624457385564722,0.5897382342935606
116,7.8339877,6.7046695,3.0331159,7.335014,4.5664434,4.8428497,0.7198212826797385,0.8765906432748537,0.6984384323150896,0.698336525153324
117,5.0142646,7.6129246,4.819873,6.785631,5.292631,10.168911,0.7591034184991826,0.9060066574839302,0.6148690527293582,0.5920294731486305
118,16.568811,34.597206,0.42663795,3.3673804,0.5575436,3.7849665,0.8680529740500319,0.9327083333333334,0.7115106404403866,0.7282423253455297
119,1.1368219,1.1429014,3.7451887,1.1734593,3.7581758,1.5296912,0.5864499285568241,0.7202850754008384,0.3244580001775999,0.3407019779348532
120,8.871532,8.00687,1.8548578,2.4773219,4.639211,4.8310366,0.7507812542614815,0.8513751871121862,0.6883044976705934,0.7051466388496993
123,4.976276,0.28255302,3.232933,0.0,6.1926885,1.3395901,0.6218885473023015,0.7841455890044109,0.4164891102846676,0.2319520876167254
124,2.0863972,0.5177688,1.7092932,1.3166032,4.3766108,3.4713242,0.7134871978683562,0.8311051617142374,0.4862722111963972,0.5591407355588754
126,10.636726,16.60338,4.037908,2.8169563,3.379949,5.921827,0.7726390641611385,0.8900015031265032,0.6524151592401667,0.7108127721718195
127,14.415411,6.27293,1.7897798,1.6399257,3.0819948,0.7483524,0.7969326852362567,0.9239122252333634,0.6721880582298619,0.6630347385816465
128,12.448868,10.642912,2.0580978,2.298518,2.1354334,5.993516,0.7601526736527872,0.8477840063959542,0.7126553797823815,0.7167985416317237
129,11.375245,16.156656,2.4679828,2.325525,3.084379,2.5874975,0.8497123368920522,0.911080917874396,0.5827696458530534,0.6369331429160351
133,6.9636216,8.8458,1.4003028,1.8741057,2.189256,0.9133704,0.7356855020801716,0.8591126384756503,0.6872217311623406,0.6474320883793814
135,2.9607904,1.0941069,3.7354865,4.0938916,5.651518,4.061679,0.7027240998824964,0.8176600669818754,0.6390502231262876,0.6066108058270986
136,4.643901,0.38207644,0.98872125,0.41032106,1.1739793,2.1982825,0.6389805981292411,0.7788437855766449,0.4743329645694863,0.5751216499205919
137,6.0744977,0.9411531,2.5155673,3.9563313,3.3763428,2.231022,0.7103457160206532,0.8062597387305731,0.53481506908617,0.5926898335824202
138,4.0244484,1.5113461,1.1582685,0.65694153,0.81473106,1.5061376,0.7160054107885322,0.8816894353369763,0.2978623546192671,0.5630164059576134
139,2.4864376,0.0,1.4615983,0.40295786,0.22922319,1.1558596,0.6783916285760323,0.7262013323041225,0.5657115057909897,0.5493251356203827
141,3.5299401,5.5135055,4.801582,6.884098,4.3529005,4.906577,0.786606424792139,0.9001876876876878,0.5812137201769723,0.6179765850915113
142,2.9753122,2.7993667,6.408833,6.395725,2.8962047,5.2594132,0.7859418085225562,0.8869897140945491,0.6651133303397047,0.583592048488497
144,2.1472332,0.8395427,1.8465298,1.324475,0.5623635,1.8502448,0.6297504268207199,0.7784596326651229,0.386840583482634,0.4168465963371685
146,6.690855,1.8295012,5.7490473,7.661251,2.6812468,11.825066,0.7628183291795961,0.8663532649414543,0.6808583221650905,0.7169177178079065
147,7.165436,4.748115,2.320506,4.7146378,2.363895,1.8171859,0.758008723138676,0.8208151779230209,0.5339611747163832,0.6271340963800981
149,1.8106058,0.11346087,1.0832583,0.51944566,5.1109543,1.765796,0.5947045801458161,0.6775815165833637,0.3523207574431118,0.197602899834385
150,16.999847,21.608318,4.620291,4.743498,4.3008604,5.0770845,0.7964692951281629,0.8667924265465365,0.5914066209250528,0.6217407347184231
153,10.165992,19.401821,0.7568147,1.3944068,3.1555097,0.85865664,0.8055781072773703,0.8875047404019079,0.737111718210483,0.6694097681655985
155,9.501537,3.8184772,4.0231028,4.5518575,1.9092395,5.3200526,0.786736849024709,0.8564494215765402,0.5813972068699085,0.6257121259311803
158,8.511504,1.1557143,2.8050327,5.04673,1.2440422,4.425391,0.7581756379800597,0.8479540598290598,0.63710718864992,0.6572907790794617
159,1.5904514,0.31712592,2.6089168,0.4587509,1.5759697,2.4856029,0.6723105369697729,0.8022316633686349,0.4750609531110508,0.3720818232295659
161,8.010902,1.0157983,1.562094,4.2022986,1.2401893,4.13793,0.6781130483724702,0.7814851721938775,0.3884697066905776,0.5107333369813969
163,16.444471,29.030489,2.983477,2.4824343,3.5507936,3.6073608,0.8330858876117495,0.9178462532299744,0.6887279588452296,0.6699125158997528
166,4.30023,1.3805351,4.940204,3.6694295,2.3404772,1.8048952,0.7825027960998164,0.8455979473449352,0.6914618874813725,0.572471315210799
168,3.7902925,0.8592873,1.4819084,3.581905,0.804957,2.5635664,0.7291230741761046,0.843127240143369,0.539654309559791,0.6389256476776247
169,2.715741,2.209524,2.6702256,2.9218707,1.5419657,2.5493243,0.6365345349053507,0.78185,0.2916758488658112,0.3122748354409513
170,11.5229,3.4543636,4.000056,6.6459236,1.0701683,6.681412,0.8349998603651916,0.886027105734767,0.7124945828382958,0.6656520527875261
171,3.97301,1.7861657,2.684743,3.251401,0.19546148,1.6945686,0.7312124736799481,0.852591332829428,0.4696903297658484,0.2554577413815906
175,13.793615,24.288044,2.9173799,4.962465,2.9939623,4.0824327,0.8067526089625536,0.91747997997998,0.7406605000549593,0.6585837831778965
176,3.883931,4.1330953,1.5795764,1.7687495,2.2826853,0.4634269,0.7789336232211947,0.8016075720162225,0.6383279766465106,0.6425758201094928
178,2.8616297,1.2441854,2.7537303,1.482389,2.4746053,1.9812143,0.6956938543974619,0.8340945975005059,0.4754387568768557,0.4911082977114279
182,16.199055,22.882656,4.545899,5.701404,3.4602747,9.11471,0.8292976537553797,0.888244052061786,0.6101789964482449,0.672499221224376
183,10.764889,9.647601,1.2466677,2.8468337,2.5750306,1.2024349,0.7940439106198035,0.8853936718175127,0.6744650265222795,0.6877073530421874
188,4.116945,0.7096468,1.0563136,1.2763569,4.551596,2.253353,0.6769333394098762,0.8345747776293057,0.733235318737978,0.5186072642632198
189,3.670826,0.48896503,1.3568796,1.2247427,1.6393416,3.7168713,0.7476053376755207,0.8059515352640302,0.4054879521724546,0.6144043504153025
190,1.511425,0.9401563,1.1184793,0.22664073,1.1750753,1.4533256,0.6359135658064087,0.8253235514063781,0.4084622556809146,0.4063986888423426
193,4.210452,3.802496,1.8238837,2.9302351,2.8390055,5.5953794,0.761738527648856,0.8535723672828417,0.7467681340742035,0.6931088054061539
197,5.0769935,0.27236718,2.9584413,1.8062716,0.8644474,5.2076015,0.6733126663357607,0.7301765398795942,0.3102949210107889,0.5302524320437672
199,3.5812347,0.13899204,0.3268115,0.0,1.0270805,0.51419055,0.53298919845802,0.666395050413294,0.3044543647075342,0.1656392683144577
200,2.6183088,4.8852158,4.4964666,3.3736515,2.0844116,3.8773875,0.8059393531392599,0.8644938271604939,0.648127396172781,0.7137582872248012
205,6.861603,19.588669,0.99457204,2.52994,2.662126,1.7739134,0.7809952236018464,0.8823584114451264,0.5456768627743833,0.5808358380922307
